['dark mauve', '#7F4960']
['dirty purple', '#7E465F']
['terracotta', '#C86847']
['gondola', '#1F1715']
['smoky black', '#110A0C']
['rangoon green', '#1D1815']
['cod gray', '#181818']
['dark jungle green', '#22211F']
['mirage', '#1B191A']
['zeus', '#242021']
['eclipse', '#24201F']
['baltic sea', '#232122']
['thunder', '#25211E']
['bleached cedar', '#262223']
['onyx', '#171717']
['heavy metal', '#262626']
['woodsmoke', '#151515']
['cinder', '#1D1D1D']
['racing green', 's#222222']
['pot black', '#161616']
['mine shaft', '#1F1F1F']
['lead', '#202020']
['eerie black', '#1D1B1C']
['black chestnut oak', '#262221']
['dynamic black', '#1E1E1E']
['cocoa brown', '#211B1B']
['gold black', '#292323']
['raisin black', '#242223']
['umbra', '#201E1F']
['eerie black', '#1B1B1B']
['orka black', '#282222']
['black chestnut', '#252120']
['eerie black', '#211D1C']
['kala black', '#201A1A']
['sweet brown', '#A53433']
['warm pink', '#FA4B7A']
['sasquatch socks', '#FC4F83']
['cerise pink', '#E84477']
['mandy', '#EB4861']
['cerise pink', '#F13973']
['rose dust', '#A2666E']
['onyx', '#313234']
['waterloo ', '#857FA1']
['Steel ', '#7E7F90']
['coconut', '#FEFEFE']
['piggy pink', '#FEE5E8']
['denim blue', '#2350AC']
['copper penny', '#B6686E']
['violet blue', '#344AB7']
['strawberry', '#FE5E86']
['cultured pearl', '#F7F7F7']
['gold fusion', '#7F8753']
['deep carmine pink', '#F03840']
['salmon pearl', '#EF5751']
['orange soda', '#F86A40']
['portland orange', '#F5633A']
['orange yellow', '#F9D46A']
['tart orange', '#F94451']
['soap', '#DFCFF3']
['moonraker', '#DCCDEE']
['pale lavender', '#E2D3F4']
['green smoke', '#A7B577']
['granite gray', '#656565']
['vivid burgundy', '#8E233D']
['pewter blue', '#91A6BB']
['fuchsia', '#BA62BD']
['mandarin pearl', '#EE7141']
['lion', '#C19E75']
['eerie black', '#1C1C1C']

['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['copper penny', '#B6686E']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['licorice', '#110A0C']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['rose dust', '#A2666E']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['green smoke', '#A7B577']
['eerie black', '#1C1A1B']
['licorice', '#0C0809']
['coconut', '#FEFEFE']
['licorice', '#130F0E']
['winter sky', '#FB0063']
['big dip o ruby', '#A82B41']
['licorice', '#0B0706']
['leather jacket', '#131D15']
['cosmic cobalt', '#382D94']
['leather jacket', '#172120']
['licorice', '#130F0C']
